core,CPD_A,SMILES_A,R_A,pKi_A,LogD_A,Sol_A_uM,CPD_B,SMILES_B,R_B,pKi_B,LogD_B,Sol_B_uM,delta_pKi,delta_LogD,delta_LogSol,abs_delta_pKi,physchem_shift,potency_specificity
Clc1ccc(-c2cc(Cn3c([*:1])nc4ccccc43)no2)s1,CPD_458,O=C(Nc1ccc(-n2ncccc2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(Nc1ccc(-n2ncccc2=O)cc1)[*:1],5.0,4.288,0.2,CPD_606,O=C(Nc1ccc(-n2ccncc2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(Nc1ccc(-n2ccncc2=O)cc1)[*:1],8.71,3.934,0.3,3.71,-0.35,0.18,3.71,0.39357337308308854,5.764688464699766
O=C(Nc1ccc([*:1])cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_421,Cc1ccc(=O)n(-c2ccc(NC(=O)c3nc4ccccc4n3Cc3cc(-c4ccc(Cl)s4)on3)cc2)n1,Cc1ccc(=O)n([*:1])n1,5.0,3.824,0.3,CPD_606,O=C(Nc1ccc(-n2ccncc2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=c1cnccn1[*:1],8.71,3.934,0.3,3.71,0.11,0.0,3.71,0.11,10.305555555555555
O=C(N[*:1])c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_557,O=C(Nc1ccc(N2CCS(=O)(=O)CC2)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=S1(=O)CCN(c2ccc([*:1])cc2)CC1,5.0,3.236,0.4,CPD_606,O=C(Nc1ccc(-n2ccncc2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=c1cnccn1-c1ccc([*:1])cc1,8.71,3.934,0.3,3.71,0.7,-0.12,3.71,0.7102112361825881,3.863733166411863
COCCOc1cc2cc(C(=O)NC3CCN(C(C)C)CC3)n([*:1])c2cn1,CPD_797,COCCOc1cc2cc(C(=O)NC3CCN(C(C)C)CC3)n(CC(=O)Nc3ccc(C(F)(F)F)cn3)c2cn1,O=C(C[*:1])Nc1ccc(C(F)(F)F)cn1,4.0,0.247,110000.0,CPD_927,COCCOc1cc2cc(C(=O)NC3CCN(C(C)C)CC3)n(CC(=O)Nc3ccc(Cl)cn3)c2cn1,O=C(C[*:1])Nc1ccc(Cl)cn1,7.45,-0.378,150000.0,3.45,-0.62,0.13,3.45,0.6334824385884742,3.9050012193926684
Clc1ccc(-c2cc(Cn3c([*:1])nc4ccccc43)no2)s1,CPD_458,O=C(Nc1ccc(-n2ncccc2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(Nc1ccc(-n2ncccc2=O)cc1)[*:1],5.0,4.288,0.2,CPD_519,O=C(Nc1ccc(-n2ccc(=O)[nH]c2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(Nc1ccc(-n2ccc(=O)[nH]c2=O)cc1)[*:1],8.2,3.685,0.2,3.2,-0.6,0.0,3.2,0.6,3.7647058823529416
O=C(Nc1ccc([*:1])cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_421,Cc1ccc(=O)n(-c2ccc(NC(=O)c3nc4ccccc4n3Cc3cc(-c4ccc(Cl)s4)on3)cc2)n1,Cc1ccc(=O)n([*:1])n1,5.0,3.824,0.3,CPD_519,O=C(Nc1ccc(-n2ccc(=O)[nH]c2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=c1ccn([*:1])c(=O)[nH]1,8.2,3.685,0.2,3.2,-0.14,-0.18,3.2,0.2280350850198276,6.694069327290638
CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)N[*:1])CC1,CPD_859,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)Nc2ccc(C#N)cc2)CC1,N#Cc1ccc([*:1])cc1,5.54,0.68,4500.0,CPD_860,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)Nc2ccc(Br)cc2)CC1,Brc1ccc([*:1])cc1,8.5,1.599,3500.0,2.96,0.92,-0.11,2.96,0.9265527507918802,2.515824299427092
CC(C)N1CCC(NC(=O)c2cc3ccccc3n2C[*:1])CC1,CPD_33,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2Cc2csc(-c3ccc(Cl)cc3)n2)CC1,Clc1ccc(-c2nc([*:1])cs2)cc1,5.57,3.106,54.0,CPD_860,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)Nc2ccc(Br)cc2)CC1,O=C(Nc1ccc(Br)cc1)[*:1],8.5,1.599,3500.0,2.94,-1.51,1.81,2.94,2.357159307301906,1.12766411771076
O=C(N[*:1])c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_421,Cc1ccc(=O)n(-c2ccc(NC(=O)c3nc4ccccc4n3Cc3cc(-c4ccc(Cl)s4)on3)cc2)n1,Cc1ccc(=O)n(-c2ccc([*:1])cc2)n1,5.0,3.824,0.3,CPD_457,O=C(Nc1ccc(-n2ccc(=O)cc2)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=c1ccn(-c2ccc([*:1])cc2)cc1,7.92,3.915,0.4,2.92,0.09,0.12,2.92,0.15,7.3
O=C(N[*:1])c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_46,O=C(Nc1ccc(-c2c[nH]cn2)cc1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,c1nc(-c2ccc([*:1])cc2)c[nH]1,5.0,4.299,0.0,CPD_178,O=C(NC1CN(c2ccncc2)C1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,c1cc(N2CC([*:1])C2)ccn1,7.9,1.282,330.0,2.9,-3.02,3.52,2.9,4.637973695483837,0.5932928818089604
